[2023-06-25 21:40:18, INFO] Start..
[2023-06-25 21:40:26, INFO] 6 Product: No Before-Discount Price Info
[2023-06-25 21:40:26, INFO] 8 Product: No Before-Discount Price Info
[2023-06-25 21:42:03, INFO] Start..
[2023-06-25 21:42:14, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:42:14, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:42:14, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:42:14, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:42:44, INFO] Start..
[2023-06-25 21:43:24, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:43:24, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:43:24, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:43:24, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:43:45, INFO] Start..
[2023-06-25 21:43:52, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:43:52, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:43:53, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:43:53, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:44:13, INFO] Start..
[2023-06-25 21:44:23, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:44:23, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:44:23, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:44:23, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:50:20, INFO] Start..
[2023-06-25 21:50:33, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:50:33, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:50:33, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:50:33, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:50:57, INFO] Start..
[2023-06-25 21:51:06, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:51:06, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:51:06, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:51:06, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 21:51:14, INFO] Start..
[2023-06-25 21:51:22, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 21:51:22, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 21:51:22, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 21:51:22, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:13:00, INFO] Start..
[2023-06-25 22:14:32, INFO] Start..
[2023-06-25 22:14:40, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:14:40, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:14:40, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:14:40, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:18:43, INFO] Start..
[2023-06-25 22:18:49, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:18:49, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:18:49, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:18:49, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:20:01, INFO] Start..
[2023-06-25 22:20:09, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:20:09, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:20:09, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:20:09, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:20:27, INFO] Start..
[2023-06-25 22:20:34, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:20:34, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:20:34, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:20:34, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:26:52, INFO] Start..
[2023-06-25 22:33:48, INFO] Start..
[2023-06-25 22:34:08, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:34:08, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:34:08, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:34:08, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:41:08, INFO] Start..
[2023-06-25 22:41:18, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:41:18, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:41:19, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:41:19, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:41:34, INFO] Start..
[2023-06-25 22:41:44, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:41:44, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:41:44, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:41:44, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:42:06, INFO] Start..
[2023-06-25 22:42:16, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:42:16, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:42:16, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:42:16, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:42:40, INFO] Start..
[2023-06-25 22:42:47, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:42:47, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:42:47, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:42:47, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:42:56, INFO] Start..
[2023-06-25 22:43:03, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:43:03, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:43:03, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:43:03, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:44:24, INFO] Start..
[2023-06-25 22:44:30, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:44:30, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:44:30, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:44:30, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:45:19, INFO] Start..
[2023-06-25 22:45:26, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:45:26, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:45:26, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:45:26, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-25 22:47:18, INFO] Start..
[2023-06-25 22:47:25, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-25 22:47:25, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-25 22:47:25, INFO] 8-th Product: No Before-Discount Price Info
[2023-06-25 22:47:25, INFO] 8-th Product: No Price-Discount Rate Info
[2023-06-26 12:39:05, INFO] Start..
[2023-06-26 12:41:31, INFO] Start..
[2023-06-26 12:41:36, INFO] 6-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 6-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 9-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 9-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 10-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 10-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 12-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 12-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 14-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 14-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 17-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 17-th Product: No Price-Discount Rate Info
[2023-06-26 12:41:36, INFO] 19-th Product: No Before-Discount Price Info
[2023-06-26 12:41:36, INFO] 19-th Product: No Price-Discount Rate Info
[2023-06-27 18:09:46, INFO] Start..
